word,language
casa,pt
apartamento,pt
quarto,pt
cozinha,pt
banheiro,pt
janela,pt
porta,pt
parede,pt
teto,pt
chao,pt
mesa,pt
cadeira,pt
sofa,pt
cama,pt
armario,pt
lampada,pt
espelho,pt
tapete,pt
garagem,pt
jardim,pt
rua,pt
avenida,pt
bairro,pt
cidade,pt
vila,pt
campo,pt
praia,pt
montanha,pt
floresta,pt
rio,pt
mar,pt
ilha,pt
pais,pt
mundo,pt
terra,pt
ceu,pt
sol,pt
lua,pt
estrela,pt
nuvem,pt
chuva,pt
vento,pt
tempestade,pt
neve,pt
fogo,pt
agua,pt
gelo,pt
areia,pt
pedra,pt
animal,pt
cachorro,pt
gato,pt
cavalo,pt
passaro,pt
peixe,pt
vaca,pt
porco,pt
galinha,pt
inseto,pt
arvore,pt
flor,pt
folha,pt
fruta,pt
maca,pt
banana,pt
laranja,pt
uva,pt
comida,pt
arroz,pt
feijao,pt
carne,pt
pao,pt
queijo,pt
leite,pt
cafe,pt
cha,pt
acucar,pt
sal,pt
familia,pt
pai,pt
mae,pt
filho,pt
filha,pt
irmao,pt
irma,pt
avo,pt
amigo,pt
amor,pt
felicidade,pt
tristeza,pt
alegria,pt
medo,pt
raiva,pt
esperanca,pt
vida,pt
morte,pt
tempo,pt
dia,pt
noite,pt
manha,pt
tarde,pt
semana,pt
mes,pt
ano,pt
hoje,pt
ontem,pt
amanha,pt
momento,pt
hora,pt
minuto,pt
segundo,pt
informacao,pt
informar,pt
comunicacao,pt
comunidade,pt
educacao,pt
universidade,pt
estudante,pt
professor,pt
escola,pt
faculdade,pt
ciencia,pt
tecnologia,pt
matematica,pt
fisica,pt
quimica,pt
biologia,pt
historia,pt
geografia,pt
filosofia,pt
linguagem,pt
palavra,pt
frase,pt
texto,pt
livro,pt
leitura,pt
escrita,pt
pesquisa,pt
estudo,pt
conhecimento,pt
aprendizado,pt
desenvolvimento,pt
criacao,pt
projeto,pt
sistema,pt
programa,pt
computador,pt
internet,pt
software,pt
hardware,pt
codigo,pt
aplicacao,pt
arquivo,pt
dados,pt
rede,pt
seguranca,pt
energia,pt
eletricidade,pt
maquina,pt
engenharia,pt
industria,pt
empresa,pt
negocio,pt
economia,pt
mercado,pt
dinheiro,pt
produto,pt
servico,pt
cliente,pt
trabalho,pt
profissao,pt
carreira,pt
experiencia,pt
qualidade,pt
resultado,pt
processo,pt
metodo,pt
analise,pt
problema,pt
solucao,pt
decisao,pt
possibilidade,pt
necessidade,pt
importante,pt
diferente,pt
simples,pt
complexo,pt
rapido,pt
lento,pt
forte,pt
fraco,pt
grande,pt
pequeno,pt
novo,pt
antigo,pt
melhor,pt
pior,pt
falar,pt
dizer,pt
contar,pt
perguntar,pt
responder,pt
escutar,pt
ouvir,pt
ver,pt
olhar,pt
sentir,pt
pensar,pt
lembrar,pt
esquecer,pt
saber,pt
conhecer,pt
entender,pt
aprender,pt
ensinar,pt
ler,pt
escrever,pt
estudar,pt
trabalhar,pt
criar,pt
fazer,pt
usar,pt
abrir,pt
fechar,pt
entrar,pt
sair,pt
chegar,pt
partir,pt
andar,pt
correr,pt
pular,pt
nadar,pt
voar,pt
viajar,pt
comer,pt
beber,pt
cozinhar,pt
comprar,pt
vender,pt
pagar,pt
ganhar,pt
perder,pt
encontrar,pt
buscar,pt
colocar,pt
tirar,pt
mover,pt
parar,pt
comecar,pt
terminar,pt
continuar,pt
mudar,pt
crescer,pt
viver,pt
morrer,pt
nascer,pt
amar,pt
gostar,pt
ajudar,pt
precisar,pt
querer,pt
poder,pt
dever,pt
tentar,pt
esperar,pt
decidir,pt
escolher,pt
permitir,pt
receber,pt
enviar,pt
mostrar,pt
seguir,pt
voltar,pt
ficar,pt
manter,pt
perceber,pt
resolver,pt
acao,pt
adaptacao,pt
organizacao,pt
nacao,pt
situacao,pt
relacao,pt
producao,pt
traducao,pt
operacao,pt
preparacao,pt
apresentacao,pt
construcao,pt
direcao,pt
funcao,pt
expressao,pt
emocao,pt
movimento,pt
pensamento,pt
sentimento,pt
elemento,pt
documento,pt
instrumento,pt
argumento,pt
exemplo,pt
modelo,pt
forma,pt
parte,pt
linha,pt
ponto,pt
numero,pt
grupo,pt
ordem,pt
lugar,pt
questao,pt
resposta,pt
motivo,pt
razao,pt
caso,pt
lado,pt
tipo,pt
nivel,pt
area,pt
base,pt
centro,pt
fim,pt
inicio,pt
meio,pt
baixo,pt
alto,pt
dentro,pt
fora,pt
perto,pt
longe,pt
direito,pt
esquerdo,pt
junto,pt
sozinho,pt
sempre,pt
nunca,pt
algum,pt
nenhum,pt
muito,pt
pouco,pt
mais,pt
menos,pt
ainda,pt
agora,pt
depois,pt
antes,pt
porque,pt
quando,pt
onde,pt
como,pt
sim,pt
nao,pt
advogado,pt
medico,pt
engenheiro,pt
arquiteto,pt
jornalista,pt
psicologo,pt
administrador,pt
contador,pt
designer,pt
programador,pt
analista,pt
consultor,pt
diretor,pt
gerente,pt
coordenador,pt
supervisor,pt
assistente,pt
tecnico,pt
especialista,pt
pesquisador,pt
cientista,pt
escritor,pt
poeta,pt
artista,pt
pintor,pt
escultor,pt
musico,pt
cantor,pt
ator,pt
atriz,pt
diretor de cinema,pt
produtor,pt
editor,pt
revisor,pt
tradutor,pt
interprete,pt
fotografo,pt
cinegrafista,pt
ilustrador,pt
animador,pt
web designer,pt
desenvolvedor,pt
administrador de banco de dados,pt
arquiteto de software,pt
engenheiro de dados,pt
cientista de dados,pt
analista de segurança,pt
administrador de redes,pt
suporte tecnico,pt
operador,pt
mecanico,pt
eletricista,pt
encanador,pt
pedreiro,pt
carpinteiro,pt
marceneiro,pt
serralheiro,pt
soldador,pt
pintor de paredes,pt
mestre de obras,pt
tecnico em edificacoes,pt
topografo,pt
geologo,pt
arqueologo,pt
antropologo,pt
sociologo,pt
historiador,pt
geografo,pt
filosofo,pt
politologo,pt
economista,pt
estatistico,pt
matematico,pt
fisico,pt
quimico,pt
biologo,pt
biomedico,pt
farmaceutico,pt
bioquimico,pt
biotecnologo,pt
agronomo,pt
veterinario,pt
zootecnista,pt
engenheiro florestal,pt
engenheiro ambiental,pt
ecologo,pt
meteorologista,pt
oceanografo,pt
astronomo,pt
piloto,pt
copiloto,pt
comissario de bordo,pt
aeromoca,pt
controlador de trafego aereo,pt
marujo,pt
capitao,pt
timoneiro,pt
maquinista,pt
motorista,pt
caminhoneiro,pt
taxista,pt
motoboy,pt
ciclista,pt
carteiro,pt
entregador,pt
atendente,pt
recepcionista,pt
secretaria,pt
telefonista,pt
operador de telemarketing,pt
vendedor,pt
consultor de vendas,pt
representante comercial,pt
gerente de contas,pt
corretor de imoveis,pt
corretor de seguros,pt
leiloeiro,pt
comerciante,pt
empresario,pt
industrial,pt
agricultor,pt
pecuario,pt
pescador,pt
cozinheiro,pt
chef de cozinha,pt
confeiteiro,pt
padeiro,pt
açougueiro,pt
peixeiro,pt
garçom,pt
garçonete,pt
barman,pt
barista,pt
sommelier,pt
nutricionista,pt
dietista,pt
gastronomo,pt
hoteleiro,pt
guia de turismo,pt
agente de viagens,pt
organizador de eventos,pt
cerimonialista,pt
promotor de eventos,pt
hostess,pt
modelo profissional,pt
manequim,pt
estilista,pt
costureira,pt
alfaiate,pt
modelista,pt
vitrinista,pt
visual merchandiser,pt
comprador de moda,pt
cabeleireiro,pt
barbeiro,pt
manicure,pt
pedicure,pt
esteticista,pt
maquiador,pt
visagista,pt
massoterapeuta,pt
fisioterapeuta,pt
terapeuta ocupacional,pt
fonoaudiologo,pt
psicopedagogo,pt
neuropsicologo,pt
psiquiatra,pt
psicanalista,pt
enfermeiro,pt
tecnico de enfermagem,pt
auxiliar de enfermagem,pt
socorrista,pt
paramedico,pt
dentista,pt
odontologo,pt
ortodontista,pt
endodontista,pt
periodontista,pt
cirurgiao,pt
anestesista,pt
pediatra,pt
ginecologista,pt
obstetra,pt
cardiologista,pt
dermatologista,pt
neurologista,pt
ortopedista,pt
oftalmologista,pt
otorrinolaringologista,pt
urologista,pt
oncologista,pt
endocrinologista,pt
gastroenterologista,pt
pneumologista,pt
nefrologista,pt
hematologista,pt
reumatologista,pt
infectologista,pt
geriatra,pt
medico do trabalho,pt
medico legista,pt
perito medico,pt
juiz,pt
promotor de justiça,pt
procurador,pt
defensor publico,pt
delegado,pt
escrivao,pt
inspetor,pt
investigator,pt
policial militar,pt
policial civil,pt
policial federal,pt
guarda municipal,pt
bombeiro,pt
salva-vidas,pt
segurança,pt
vigilante,pt
porteiro,pt
zelador,pt
faxineiro,pt
diarista,pt
